id;owner_type;owner_id;field_name;value
1;Chicken;59100;transmitting Car Papua;17573
2;copy end-to-end capacitor;74918;Designer Fresh parallelism;10538
3;Games Compatible;93483;Integration up emulation;31854
4;Cambridgeshire;23546;array Credit;91246
5;Architect quantifying transmitting;18091;Communications sensor;48071
6;copying parallelism;43108;bricks-and-clicks 甘肃省 Cayman;97837
7;override;35089;Steel eco-centric;44629
8;digital wireless Engineer;21107;mesh cyan 湖北省;17709
9;JBOD Product;66880;Fresh parsing 广西省;13187
10;Bacon Chair challenge;8863;protocol;91443
